name,price,year,total_km,location,engine_type,transmission
2019 BMW 5 Series Sedan 530i Luxury,690000000,2019,,,,Otomatis
2016 Mercedes Benz CLA-Class CLA 200 SPORT 1.6 A,380000000,2016,40000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2018 BMW 7 Series Sedan 740Li,905000000,2018,3000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2019 Mazda 6 Sedan Elite Sedan,400000000,2019,27000,"Jakarta Pusat
5 Seat
2488 Cc
Panggilan Gratis",Bensin,Otomatis
2019 BMW 7 Series Sedan 730 LI LUXURY 2.0L,749000000,2019,,,,
2019 BMW 5 Series Sedan 530i Touring M Sport,625000000,2019,19000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2021 Mercedes Benz A-Class Sedan A200 Progressive Line,485000000,2021,14835,"Jakarta Pusat
5 Seat
1332 Cc
Panggilan Gratis",Bensin,Otomatis
2024 BMW i7 xDrive60 Gran Lusso,2800000000,2024,500,"Jakarta Pusat
5 Seat
Panggilan Gratis",,Otomatis
2023 Mazda 3 Sedan Skyactive-G 2.0,415000000,2023,,,,Otomatis
2019 Mercedes Benz A-Class Sedan A 200,480000000,2019,46000,"Jakarta Pusat
5 Seat
1332 Cc
Panggilan Gratis",Bensin,
2019 Mazda 3 Sedan Skyactive-G 2.0,382000000,2019,31000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2012 Ford Focus Titanium 4-door,135000000,2012,80000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,Otomatis
