name,price,year,total_km,location,engine_type,transmission
2019 Daihatsu Terios R M/T,190000000,2019,60000,Denpasar,Bensin,Manual
2014 Honda CR-V 2.0L,190000000,2014,,,,
2017 Honda CR-V 1.5L Turbo Prestige,375000000,2017,,,,
2005 Honda HRV 1.8 Prestige,242000000,2005,80000,Bekasi,Bensin,Otomatis
2004 Honda Jazz I-DSI 1.5L MT,85000000,2004,99000,,Diesel,Manual
2011 Honda CR-V 2.4 4X2 AUTOMATIC,155000000,2011,123456,Bekasi,Bensin,
2022 Daihatsu Terios X A/T Deluxe,209000000,2022,,,,Otomatis
2017 Honda HRV 1.5L S MT,225000000,2017,47000,Surabaya,Bensin,Manual
2014 Honda CR-V 2.0 i-VTEC AT,195000000,2014,60000,Surabaya,Bensin,Otomatis
2012 Honda CR-V 2.4 I-VTEC AT,170000000,2012,105000,Bandung,Bensin,Otomatis
2020 Honda Jazz VTEC 1.5L AT,258500000,2020,31905,Sidoarjo,Bensin,Otomatis
2018 Daihatsu Terios X A/T Deluxe,190000000,2018,,,,Otomatis
2012 Honda CR-V 2.4L AT,145000000,2012,,,,Otomatis
2018 Daihatsu Terios R M/T,192000000,2018,58000,Sidoarjo,Bensin,Manual
2020 Daihatsu Terios X A/T Deluxe,199900000,2020,50000,Surabaya,Bensin,Otomatis
2004 Honda CR-V 2.0L,75000000,2004,150000,"Jakarta Utara
5 Seat
1997 Cc
Ventilasi Ac Belakang
Engine Start Stop Button
Lingkar Kemudi Dengan Tombol Multi Fungsi
Layar Sentuh
Anti Lock Braking System
Sensor Parkir
Lihat Detail Penjual",Bensin,CVT
2004 Honda CR-V 2.0L 4X2 AT,75000000,2004,,,,Otomatis
2013 Nissan Juke RX AT,150000000,2013,50000,,Bensin,Otomatis
2012 Nissan Juke RX AT,170000000,2012,90000,,Bensin,Otomatis
2012 Nissan Juke CVT 1.5 AT,140000000,2012,,,,CVT
2013 Nissan Juke 1.5L RX CVT,145000000,2013,99000,,Bensin,CVT
2016 Mazda CX 5 GRAND TOURING SKYACTIVE,270000000,2016,65000,"Jakarta Utara
Lihat Detail Penjual",Bensin,
2014 Mazda CX 5 2.5L GT AT,205000000,2014,,,,Otomatis
2019 Mazda CX 5 Elite,418000000,2019,50000,"Jakarta Utara
5 Seat
2488 Cc
Ventilasi Ac Belakang
Engine Start Stop Button
Power Outlet
Lingkar Kemudi Dengan Tombol Multi Fungsi
Automatic Climate Control
Layar Sentuh
Lihat Detail Penjual",Bensin,Otomatis
2015 Nissan Juke 1.5L RX CVT,165000000,2015,94000,Denpasar,Bensin,CVT
2020 Mazda CX-5 GRAND TOURING SKYACTIVE,423000000,2020,24993,"Tangerang
Lihat Detail Penjual",Bensin,
2013 Mazda CX-5 2.5L Sport AT,185000000,2013,99000,Bandung,Bensin,Otomatis
2017 Suzuki SX4 S Cross AT,152000000,2017,104000,Semarang,Bensin,Otomatis
